1;1;inigosto;Start;11:00:00
2;1;inigosto;Success;11:22:00
3;1;suppfill;Start;11:30:00
4;1;suppfill;Success;11:55:00
5;1;rollback;Start;12:00:00
6;1;rollback;Success;12:15:00
7;2;suppfill;Start;12:00:00
8;2;suppfill;Success;12:24:00
9;2;rollback;Start;12:30:00
10;2;rollback;Success;12:56:00
11;2;kegsbett;Start;13:00:00
12;2;kegsbett;Success;13:19:00
13;3;kegsbett;Start;11:00:00
14;3;kegsbett;Success;11:22:00
15;3;inigosto;Start;11:30:00
16;3;inigosto;Success;11:55:00
17;3;rollback;Start;12:00:00
18;3;rollback;Success;12:15:00
19;4;kegsbett;Start;11:00:00
20;4;kegsbett;Success;11:22:00
21;4;inigosto;Start;11:30:00
22;4;inigosto;Failure;11:55:00
23;5;inigosto;Start;11:00:00
24;5;inigosto;Success;11:22:00
25;5;kegsbett;Start;11:30:00
26;5;kegsbett;Success;11:55:00
27;5;rollback;Start;12:00:00
28;5;rollback;Failure;12:15:00
